ec5	pdb	cathids	catalytic_cathids	unrelated?	number_unrelated_domains
5.1.1.1	3b8u	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1vft	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1vfs	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4luy	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4ils	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	2vd8	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	2vd9	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1vfh	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1xql	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	4a3q	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	2dy3	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.1	1xqk	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	y	2
5.1.1.3	2gzm	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	4b1f	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	1zuw	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	3ist	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	1b73	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	1b74	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	3isv	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	3uhf	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2w4i	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	3hfr	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	3uho	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	3uhp	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	3out	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfp	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfq	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfv	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfw	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfu	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfz	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfx	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfy	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2dwu	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfn	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2jfo	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2oho	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2ohg	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2vvt	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.3	2ohv	3.40.50.1860;3.40.50.1860	3.40.50.1860;3.40.50.1860	n	0
5.1.1.4	1w62	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.4	1w61	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.5	4dza	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	n	0
5.1.1.5	3co8	2.40.37.10;3.20.20.10	2.40.37.10;3.20.20.10	n	0
5.1.1.7	3fve	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	4ijz	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	3ejx	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	2gkj	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	2q9h	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	2gke	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	2q9j	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	4ik0	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	1bwz	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	3ekm	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	2otn	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.7	1gqz	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4jbd	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4jd7	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4j9w	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4q60	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	2azp	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4k7x	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4lb0	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4j9x	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4jci	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4q2h	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4juu	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	1tm0	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.8	4k8l	3.10.310.10;3.10.310.10	3.10.310.10;3.10.310.10	n	0
5.1.1.10	2ggh	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.10	2ggi	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.10	2ggj	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.10	2fkp	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.10	2ggg	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.11	1amu	3.40.50.980;3.40.50.980;2.30.38.10;3.30.300.30	3.40.50.980;3.40.50.980;2.30.38.10;3.30.300.30	n	0
5.1.1.13	2dx7	3.40.50.1860;3.40.50.1860	3.40.50.1860	n	0
5.1.1.13	1iu9	3.40.50.1860	3.40.50.1860	n	0
5.1.1.13	1jfl	3.40.50.1860;3.40.50.1860	3.40.50.1860	n	0
5.1.1.15	2zuk	3.90.1150.10;3.40.640.10	3.90.1150.10;3.40.640.10	n	0
5.1.1.15	3dxw	3.90.1150.10;3.40.640.10	3.90.1150.10;3.40.640.10	n	0
5.1.1.15	3dxv	3.90.1150.10;3.40.640.10	3.90.1150.10;3.40.640.10	n	0
5.1.1.18	3l6r	3.40.50.1100;3.40.50.1100	3.40.50.1100;3.40.50.1100	n	0
5.1.1.18	2zpu	3.40.50.1100;3.40.50.1100	3.40.50.1100;3.40.50.1100	n	0
5.1.1.18	1v71	3.40.50.1100;3.40.50.1100	3.40.50.1100;3.40.50.1100	n	0
5.1.1.18	3hmk	3.40.50.1100;3.40.50.1100	3.40.50.1100;3.40.50.1100	n	0
5.1.1.18	1wtc	3.40.50.1100;3.40.50.1100	3.40.50.1100;3.40.50.1100	n	0
5.1.1.18	3l6c	3.40.50.1100;3.40.50.1100	3.40.50.1100;3.40.50.1100	n	0
5.1.1.18	3l6b	3.40.50.1100;3.40.50.1100	3.40.50.1100;3.40.50.1100	n	0
5.1.1.18	2zr8	3.40.50.1100;3.40.50.1100	3.40.50.1100;3.40.50.1100	n	0
5.1.1.20	3der	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	3des	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	3deq	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	3ijl	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	3dfy	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	2zad	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	1jpd	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	3iji	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	1tkk	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	1jpm	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.1.20	3ijq	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	1mns	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	3toy	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	2ox4	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	2mnr	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	1mdr	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	4fp1	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	4hnc	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	1mdl	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	2og9	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	3tte	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	1dtn	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	3uxk	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	3uxl	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	1mra	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.2	4m6u	3.30.390.10;3.20.20.120	3.30.390.10;3.20.20.120	n	0
5.1.2.3	1wdl	3.90.226.10;3.40.50.720	3.90.226.10;3.40.50.720	n	0
5.1.2.3	1wdm	3.90.226.10;3.40.50.720	3.90.226.10;3.40.50.720	n	0
5.1.2.3	2d3t	3.90.226.10;3.40.50.720	3.90.226.10;3.40.50.720	n	0
5.1.2.3	2wtb	3.90.226.10;3.40.50.720	3.90.226.10;3.40.50.720	n	0
5.1.2.3	1wdk	3.90.226.10;3.40.50.720	3.90.226.10;3.40.50.720	n	0
5.1.3.1	1tqj	3.20.20.70	3.20.20.70	n	0
5.1.3.1	1rpx	3.20.20.70	3.20.20.70	n	0
5.1.3.1	3qc3	3.20.20.70	3.20.20.70	n	0
5.1.3.1	3cu2	3.20.20.70	3.20.20.70	n	0
5.1.3.1	3ovp	3.20.20.70	3.20.20.70	n	0
5.1.3.1	3ovq	3.20.20.70	3.20.20.70	n	0
5.1.3.1	3ovr	3.20.20.70	3.20.20.70	n	0
5.1.3.1	3inp	3.20.20.70	3.20.20.70	n	0
5.1.3.1	4nu7	3.20.20.70	3.20.20.70	n	0
5.1.3.1	1h1y	3.20.20.70	3.20.20.70	n	0
5.1.3.1	1h1z	3.20.20.70	3.20.20.70	n	0
5.1.3.2	1lrk	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1lrj	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1xel	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1lrl	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1hzj	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	2udp	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	3ko8	3.40.50.720;3.90.25.10	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1udb	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1udc	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1uda	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	2p5y	3.40.50.720;3.90.25.10	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1ek6	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1ek5	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1nah	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1nai	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1a9y	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1a9z	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1gy8	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	2p5u	3.40.50.720;3.90.25.10	3.90.25.10;3.40.50.720	n	0
5.1.3.2	4twr	3.40.50.720;3.90.25.10	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1z45	3.40.50.720;3.90.25.10;2.70.98.10	3.90.25.10;3.40.50.720	n	0
5.1.3.2	4wok	3.40.50.720;3.90.25.10	3.90.25.10;3.40.50.720	n	0
5.1.3.2	3enk	3.40.50.720;3.90.25.10	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1kvt	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1kvu	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1kvr	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1kvs	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1kvq	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	2c20	3.40.50.720;3.90.25.10	3.90.25.10;3.40.50.720	n	0
5.1.3.2	2cnb	3.40.50.720;3.90.25.10	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1i3k	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1i3n	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1i3m	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.2	1i3l	3.90.25.10;3.40.50.720	3.90.25.10;3.40.50.720	n	0
5.1.3.3	1yga	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1l7j	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1ns8	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1l7k	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1mmu	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1ns0	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1mmx	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1ns2	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1mmz	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1ns4	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1ns7	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1mn0	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1mmy	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1snz	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1so0	2.70.98.10	2.70.98.10	n	0
5.1.3.3	3imh	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1z45	3.40.50.720;3.90.25.10;2.70.98.10	2.70.98.10	n	0
5.1.3.3	4bze	2.70.98.10	2.70.98.10	n	0
5.1.3.3	4bzf	2.70.98.10	2.70.98.10	n	0
5.1.3.3	4bzg	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1nsm	2.70.98.10	2.70.98.10	n	0
5.1.3.3	4bzh	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1lur	2.70.98.10	2.70.98.10	n	0
5.1.3.3	3mwx	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1nsx	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1nsz	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1nsr	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1nss	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1nsu	2.70.98.10	2.70.98.10	n	0
5.1.3.3	1nsv	2.70.98.10	2.70.98.10	n	0
5.1.3.4	1jdi	3.40.225.10	3.40.225.10	n	0
5.1.3.4	1k0w	3.40.225.10	3.40.225.10	n	0
5.1.3.7	3ru9	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	3ruc	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	3ruf	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	1ek6	3.90.25.10;3.40.50.720	3.40.50.720	n	0
5.1.3.7	1ek5	3.90.25.10;3.40.50.720	3.40.50.720	n	0
5.1.3.7	3lu1	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	1hzj	3.90.25.10;3.40.50.720	3.40.50.720	n	0
5.1.3.7	3ruh	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	3ru7	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	3m2p	3.40.50.720	3.40.50.720	n	0
5.1.3.7	3rue	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	1i3k	3.90.25.10;3.40.50.720	3.40.50.720	n	0
5.1.3.7	1sb8	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	1sb9	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	3rud	3.40.50.720;3.90.25.10	3.40.50.720	n	0
5.1.3.7	1i3n	3.90.25.10;3.40.50.720	3.40.50.720	n	0
5.1.3.7	1i3m	3.90.25.10;3.40.50.720	3.40.50.720	n	0
5.1.3.7	1i3l	3.90.25.10;3.40.50.720	3.40.50.720	n	0
5.1.3.8	1fp3	1.50.10.10	1.50.10.10	n	0
5.1.3.9	1y0e	3.20.20.70	3.20.20.70	n	0
5.1.3.9	1yxy	3.20.20.70	3.20.20.70	n	0
5.1.3.9	3igs	3.20.20.70	3.20.20.70	n	0
5.1.3.9	3q58	3.20.20.70	3.20.20.70	n	0
5.1.3.9	4utu	3.20.20.70	3.20.20.70	n	0
5.1.3.9	4utt	3.20.20.70	3.20.20.70	n	0
5.1.3.9	4utw	3.20.20.70	3.20.20.70	n	0
5.1.3.10	1orr	3.40.50.720	3.40.50.720	n	0
5.1.3.11	3wkg	1.50.10.10	1.50.10.10	n	0
5.1.3.11	3wkf	1.50.10.10	1.50.10.10	n	0
5.1.3.11	3wkh	1.50.10.10	1.50.10.10	n	0
5.1.3.11	3wki	1.50.10.10	1.50.10.10	n	0
5.1.3.11	3vw5	1.50.10.10	1.50.10.10	n	0
5.1.3.13	1nzc	2.60.120.10	2.60.120.10	n	0
5.1.3.13	2ixj	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1ep0	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1upi	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1nxm	2.60.120.10	2.60.120.10	n	0
5.1.3.13	2ixl	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1epz	2.60.120.10	2.60.120.10	n	0
5.1.3.13	3ryk	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1dzr	2.60.120.10	2.60.120.10	n	0
5.1.3.13	2ixk	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1dzt	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1wlt	2.60.120.10	2.60.120.10	n	0
5.1.3.13	2ixc	2.60.120.10	2.60.120.10	n	0
5.1.3.13	2ixh	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1rtv	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1nyw	2.60.120.10	2.60.120.10	n	0
5.1.3.13	2ixi	2.60.120.10	2.60.120.10	n	0
5.1.3.13	2b9u	2.60.120.10	2.60.120.10	n	0
5.1.3.13	1pm7	2.60.120.10	2.60.120.10	n	0
5.1.3.14	3dzc	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	1o6c	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	4hwg	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	1v4v	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	1vgv	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	4neq	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	4nes	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	4fkz	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	3ot5	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	3beo	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.14	1f6d	3.40.50.2000;3.40.50.2000	3.40.50.2000;3.40.50.2000	n	0
5.1.3.15	2cir	2.70.98.10	2.70.98.10	n	0
5.1.3.15	2cis	2.70.98.10	2.70.98.10	n	0
5.1.3.15	2ciq	2.70.98.10	2.70.98.10	n	0
5.1.3.18	2c5a	3.40.50.720	3.40.50.720	n	0
5.1.3.18	2c59	3.40.50.720	3.40.50.720	n	0
5.1.3.18	2c54	3.40.50.720	3.40.50.720	n	0
5.1.3.18	2c5e	3.40.50.720	3.40.50.720	n	0
5.1.3.20	2x86	3.40.50.720;3.90.25.10	3.40.50.720;3.90.25.10	n	0
5.1.3.20	4ej0	3.40.50.720;3.90.25.10	3.40.50.720;3.90.25.10	n	0
5.1.3.20	2x6t	3.40.50.720;3.90.25.10	3.40.50.720;3.90.25.10	n	0
5.1.3.20	3sxp	3.40.50.720;3.90.25.10	3.40.50.720;3.90.25.10	n	0
5.1.3.20	1eq2	3.40.50.720;3.90.25.10	3.40.50.720;3.90.25.10	n	0
5.1.3.22	3cqi	3.20.20.150	3.20.20.150	n	0
5.1.3.22	3cqh	3.20.20.150	3.20.20.150	n	0
5.1.3.22	3cqk	3.20.20.150	3.20.20.150	n	0
5.1.3.22	3cqj	3.20.20.150	3.20.20.150	n	0
5.1.3.27	4hn0	2.60.120.10	2.60.120.10	n	0
5.1.3.27	4hn1	2.60.120.10	2.60.120.10	n	0
5.1.3.27	4hmz	2.60.120.10	2.60.120.10	n	0
5.1.3.29	2wcu	3.40.1650.10	3.40.1650.10	n	0
5.1.3.29	2wcv	3.40.1650.10	3.40.1650.10	n	0
5.1.99.1	1jc4	3.10.180.10	3.10.180.10	n	0
5.1.99.1	1jc5	3.10.180.10	3.10.180.10	n	0
